config_name,ablation_type,removed,n_features,cv_ndcg@100,feature_cols_json
no_dense_confidence,leave_one_feature,dense_confidence,15,0.4374432797321755,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15]"
full,full,—,16,0.4373011879398393,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
no_top_sparse_score,leave_one_feature,top_sparse_score,15,0.4373011879398393,"[0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15]"
no_has_question_word,leave_one_feature,has_question_word,15,0.437272571783691,"[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
no_max_idf,leave_one_feature,max_idf,15,0.43707605085606555,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
no_sparse_confidence,leave_one_feature,sparse_confidence,15,0.4369905424334137,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15]"
no_rare_term_ratio,leave_one_feature,rare_term_ratio,15,0.4367194005657883,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
no_sparse_entropy_topk,leave_one_feature,sparse_entropy_topk,15,0.43652715845897055,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
no_top_dense_score,leave_one_feature,top_dense_score,15,0.4364518624407473,"[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15]"
no_cross_entropy,leave_one_feature,cross_entropy,15,0.436416126857758,"[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
no_group_B,leave_one_group,B: Vocabulary Match,12,0.4363819340789335,"[0, 1, 2, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
no_average_idf,leave_one_feature,average_idf,15,0.43631751695585014,"[0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
no_group_C,leave_one_group,C: Retriever Confidence,12,0.43630803221126346,"[0, 1, 2, 3, 4, 5, 6, 11, 12, 13, 14, 15]"
no_first_shared_doc_rank,leave_one_feature,first_shared_doc_rank,15,0.4362906424906686,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15]"
no_stopword_ratio,leave_one_feature,stopword_ratio,15,0.43628884220639064,"[0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
no_group_E,leave_one_group,E: Distribution Shape,14,0.4362637407389688,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]"
no_group_D,leave_one_group,D: Retriever Agreement,13,0.43602460269613574,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 14, 15]"
no_dense_entropy_topk,leave_one_feature,dense_entropy_topk,15,0.43572326456467136,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15]"
no_group_A,leave_one_group,A: Query Surface,13,0.43563836941235135,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
no_spearman_topk,leave_one_feature,spearman_topk,15,0.43562636340952865,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15]"
no_query_length,leave_one_feature,query_length,15,0.4351329239114935,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
no_overlap_at_k,leave_one_feature,overlap_at_k,15,0.4349254032055148,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15]"
